x,y,width,height,x_func,y_func,x_scale,y_scale,x_cycle_size,y_cycle_size,x_offset,y_offset
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,100,100,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,110,110,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,120,120,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,130,130,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,140,140,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,150,150,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,160,160,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,170,170,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,180,180,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,190,190,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,210,210,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,220,220,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,230,230,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,240,240,0,0
0.0,0.0,0.2,0.2,lin,sin,1.0,1.0,250,250,0,0
