x,y,width,height,x_func,y_func,x_scale,y_scale,x_cycle_size,y_cycle_size,x_offset,y_offset
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,0,0
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,5,5
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,10,10
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,15,15
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,20,20
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,25,25
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,30,30
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,35,35
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,40,40
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,45,45
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,50,50
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,55,55
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,60,60
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,65,65
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,70,70
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,75,75
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,80,80
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,85,85
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,90,90
0.0,0.0,0.5,0.5,lin,sin,1.0,1.0,100,100,95,95
